,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/0,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/temperature/9,/atigpu/0/power/0,/atigpu/0/fan/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/atigpu/0/load/1,/atigpu/0/control/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Hot Spot","GPU Total","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Memory","GPU Fan","Temperature","Used Space"
10/08/2022 14:27:17,97.2549057,90.98039,61.9607849,61.9607849,30.19608,30.19608,61.9607849,0.960000038,1.68800008,3.456,3.28000021,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,60.5,51,32,8,23,28,-13,2683.89673,42.20779,48.402256,44.80519,43.5064926,41.558445,44.15584,44.15584,42.8571472,43.9561234,57,57,56,56,55,58,56,55,58,4606.34,4606.34,4606.34,2903.99683,801.1026,4305.92627,4606.34,4305.92627,45.46171,44.4885178,0,0.9235783,100.137825,43.8583946,13.9779282,17.8926582,51,57,19,2247,2286,190,0.943,96,4,38,37,8.917801
10/08/2022 14:27:17,90.98039,84.70589,61.9607849,61.9607849,30.19608,30.19608,61.9607849,1.2,1.6960001,3.456,3.28000021,0.984,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,61.5,51,32,8.5,23,28,-13,2749.49072,19.6078415,14.7058849,14.7058849,19.6078415,16.6666622,17.4396629,13.72549,14.7058849,16.3956413,70,69,72,72,71,72,70,69,72,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,58.4411736,57.648922,0,0.9447598,100.137817,43.864502,13.9798737,17.8907127,52,57,19,2237,2256,186,0.943,95,4,38,37,8.917801
10/08/2022 14:27:18,98.0392151,88.62745,61.9607849,61.9607849,30.19608,30.19608,61.9607849,1.192,1.68800008,3.456,3.28000021,0.984,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,70.5,51,32,8.5,22,28,-12,2721.77417,64.84375,70.3125,64.0625,64.0625,64.0625,73.4375,64.0625,64.0625,66.11328,67,65,68,67,67,67,67,65,68,3905.37476,3905.37476,4005.5127,4005.5127,3905.37476,3905.37476,4005.5127,4005.5127,93.24656,92.22591,0,1.12046468,100.137817,43.84966,13.9751434,17.895443,51,57,19,2230,2242,186,0.943,95,4,38,37,8.917801
10/08/2022 14:27:19,95.68628,86.66667,61.9607849,61.9607849,30.19608,30.19608,61.9607849,0.640000045,1.68800008,3.456,3.28000021,0.992000043,1.056,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,56.5,51,32,8,23,28,-13,2755.102,19.9999981,21.53846,20.1562519,20.9375019,20.1562519,21.875,21.53846,20.1562519,20.7947674,54,53,55,54,53,54,54,54,55,4406.065,4606.34033,3805.23779,3805.23779,4606.34033,4606.34033,4606.34033,4606.34033,22.6621571,21.7029915,0,0.786003351,100.13784,43.8537636,13.9764519,17.8941345,51,57,19,2253,2290,190,0.943,97,4,38,37,8.917801
10/08/2022 14:27:20,94.90196,83.52941,61.9607849,61.9607849,30.19608,30.19608,61.9607849,1.21600008,1.68800008,3.456,3.28000021,0.9760001,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.664,72,51,32,8.5,22,28,-11,2710.84326,47.65625,45.3125,44.97596,44.19471,51.9951935,44.1826935,47.65625,45.7451935,46.4648361,73,71,75,75,75,75,73,73,75,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,96.44031,95.61977,0,1.02898407,100.13781,43.85447,13.9766769,17.89391,51,56,19,2235,2268,188,0.943,96,4,38,37,8.917801
10/08/2022 14:27:21,99.60784,90.5882339,61.9607849,61.9607849,30.19608,30.19608,61.9607849,1.03200006,1.68800008,3.456,3.29600024,0.984,1.056,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.68000007,65.5,51,32,8.5,23,28,-12,2662.722,53.90625,57.03125,52.34375,51.5625,57.03125,51.5625,53.125,52.34375,53.61328,58,57,58,57,58,57,58,57,58,4606.34033,4005.51343,4606.34033,4606.34033,4305.927,4606.34033,4005.51343,4606.34033,59.8688049,58.86698,0,0.9413131,100.13784,43.84279,13.9729538,17.8976326,51,57,19,2240,2276,188,0.943,96,5,38,37,8.917801
10/08/2022 14:27:22,91.76471,82.7451,61.9607849,61.9607849,30.19608,30.19608,61.9607849,1.20800006,1.68800008,3.456,3.29600024,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,63,51,32,8.5,22,28,-11,2662.722,12.5,10.9375,10.9375,9.375,11.71875,10.15625,9.375,11.71875,10.8398438,64,61,64,71,63,64,63,62,71,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,4606.33936,53.03287,52.1997452,0,0.9089655,100.137817,43.84358,13.9732056,17.89738,51,56,18,2234,1857,152,0.943,75,3,38,37,8.917801
10/08/2022 14:27:23,99.21569,87.05882,61.9607849,61.9607849,30.19608,30.19608,61.9607849,1.024,1.68800008,3.47200012,3.28000021,0.984,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.664,69.5,51,32,8.5,22,28,-12,2705.411,68.25397,66.6666641,77.86458,69.84126,68.25397,66.6666641,66.6666641,67.46032,68.95926,65,64,68,66,67,67,66,65,68,4005.513,3905.375,3905.375,4005.513,4005.513,3905.375,3905.375,4005.513,89.76023,88.7639542,0,1.02980685,100.137825,43.8913727,13.9884377,17.8821487,51,56,19,2235,2183,180,0.943,92,4,38,37,8.917801
10/08/2022 14:27:24,94.90196,86.27451,61.9607849,61.9607849,30.19608,30.19608,61.9607849,1.08,1.68800008,3.456,3.29600024,0.984,1.056,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,59.5,51,32,8.5,23,28,-13,2657.48022,23.84615,25.3846169,25.6009579,23.84615,23.0769215,24.6153831,24.6153831,23.0769215,24.2578087,58,55,55,57,56,56,57,55,58,4606.34,4005.513,4305.92627,4606.34,4606.34,4606.34,3705.09961,2803.85913,32.5260849,31.5774612,0,0.8742175,100.137825,43.8912659,13.9884033,17.8821831,51,56,15,2254,2283,248,0.943,96,4,38,37,8.917801
