,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/0,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/temperature/9,/atigpu/0/power/0,/atigpu/0/fan/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/atigpu/0/load/1,/atigpu/0/control/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Hot Spot","GPU Total","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Memory","GPU Fan","Temperature","Used Space"
10/16/2022 13:10:28,69.8039246,41.9607849,60,60,30.19608,30.19608,60,0.664000034,1.672,3.47200012,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,39,35,28,8,23,28,-12,1580.79626,1.53846145,0,0.7692337,0,0.7692337,1.53846145,0,0,0.5769253,37,36,37,36,36,37,38,36,38,801.1027,1201.654,1201.654,901.24054,801.1027,801.1027,4606.341,4606.341,11.9530382,10.993782,0,0.7138788,100.13784,37.05202,11.8086967,20.06189,36,37,2,0,0,6,0.006,0,0,0,31,10.9844894
10/16/2022 13:10:33,68.62745,40.7843132,60,60,30.19608,30.19608,60,0.664000034,1.672,3.456,3.36000013,0.992000043,1.064,1.35200012,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,37.5,34,28,8,23,28,-12,1511.75818,0,0.7692337,0.7692337,0.7692337,0,0,0,0.757575035,0.3831625,36,35,35,36,36,36,37,36,37,801.102661,801.102661,801.102661,801.102661,801.102661,801.102661,801.102661,801.102661,9.191031,8.247005,0,0.6655306,100.137833,37.1267738,11.83252,20.0380669,36,37,1,0,22,10,0.70600003,2,0,0,31,10.9844894
10/16/2022 13:10:38,70.98039,43.1372566,60,60,30.19608,30.19608,60,0.656,1.672,3.47200012,3.37600017,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,42,34,28,8.5,23,28,-12,1546.39172,2.34375,1.58730149,3.125,0.78125,0,1.5625,3.125,1.5625,1.760912,44,50,43,41,41,43,43,50,50,4606.348,4606.348,4606.348,4606.348,4606.348,4606.348,4606.348,4606.348,26.7513714,25.7939587,0,0.9703539,100.138,37.64873,11.9988708,19.8717155,36,37,2,0,2,6,0.006,0,0,0,31,10.9844894
10/16/2022 13:10:43,69.8039246,41.9607849,60,60,30.19608,30.19608,60,0.664000034,1.672,3.47200012,3.36000013,0.992000043,1.064,1.3440001,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,38,34,28,8,23,28,-13,1491.71265,2.34375,0.78125,3.125,5.46875,0,0,0.7692337,0.78125,1.65865421,36,35,36,35,36,37,36,36,37,801.102661,801.102661,801.102661,801.102661,801.102661,801.102661,801.102661,801.102661,8.908073,7.96611834,0,0.6716619,100.137833,37.6669235,12.0046692,19.8659172,37,37,1,0,0,0,0.006,0,0,0,31,10.9813614
10/16/2022 13:10:48,68.62745,40.7843132,60,60,30.19608,30.19608,60,0.728000045,1.672,3.47200012,3.37600017,0.992000043,1.064,1.35200012,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,37.5,34,28,8,23,28,-13,1528.87878,0,1.5625,0,1.5625,0,0,0,0.78125,0.48828125,36,35,36,35,36,36,37,36,37,801.1032,4606.34326,3805.24023,801.1032,801.1032,801.1032,801.1032,801.1032,8.981154,8.047422,0,0.6626781,100.1379,37.6741524,12.0069733,19.8636131,36,37,1,0,0,0,0.006,0,0,0,31,10.9813614
10/16/2022 13:10:53,75.29412,47.45098,60,60,30.19608,30.19608,60,1.1680001,1.672,3.47200012,3.37600017,0.992000043,1.064,1.33600008,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,48,34,28,8.5,23,28,-12,1486.78418,0,9.375,0.78125,11.71875,0,8.521634,12.5,0.78125,5.459738,37,37,39,37,38,38,39,38,39,4606.341,801.1028,801.1028,801.1028,4606.341,4406.06543,3504.82471,2603.584,29.1911259,28.2357922,0,0.9413948,100.137848,37.69389,12.0132637,19.8573227,37,37,1,0,0,0,0.006,0,0,0,31,10.9813614
10/16/2022 13:10:58,70.5882339,42.7451,60,60,30.19608,30.19608,60,0.656,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,38,34,28,8,23,28,-13,1488.42334,1.5625,3.125,0,0,0,0,1.5625,6.92307949,1.646632,36,35,36,36,35,36,36,36,37,801.1032,801.1032,801.1032,801.1032,4606.34326,3705.10229,2803.86133,4606.34326,11.6511106,10.7159967,0,0.7133949,100.1379,37.66198,12.0030937,19.8674927,36,37,2,0,0,2,0.006,0,0,0,31,10.9813614
10/16/2022 13:11:03,68.62745,40.7843132,60,60,30.19608,30.19608,60,0.664000034,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,38,34,28,8.5,23,28,-13,1513.45288,0,3.125,2.34375,1.5625,0,0,0,0.78125,0.9765625,36,35,36,36,36,37,37,36,37,801.1033,801.1033,801.1033,801.1033,801.1033,4606.34375,4005.51636,3104.27515,11.9994335,11.0609312,0,0.7171317,100.137909,37.6481667,11.9986916,19.8718948,37,37,2,0,4,0,0.70600003,0,0,0,31,10.9813614
10/16/2022 13:11:09,70.5882339,42.7451,60,60,30.19608,30.19608,60,1.20800006,1.672,3.456,3.36000013,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,40.5,34,28,8,23,28,-12,1506.69641,0,4.615384,0.7692337,0,0,0,1.53846145,0.7692337,0.9615421,39,37,38,38,37,39,39,41,41,4606.34326,4606.34326,801.1032,4606.34326,4606.34326,4606.34326,4606.34326,4606.34326,22.6304188,21.7109871,0,0.796086252,100.1379,37.72306,12.02256,19.8480263,37,37,2,0,0,2,0.006,0,0,0,31,10.9813614
10/16/2022 13:11:14,73.7254944,46.27451,60,60,30.19608,30.19608,60,1.072,1.672,3.47200012,3.37600017,0.992000043,1.064,1.35200012,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,40,34,28,8,23,28,-12,1614.83252,3.8461566,0.7692337,0,0,0,18.181818,2.30768919,0,3.138113,37,36,37,37,37,37,38,37,38,1201.65466,801.103149,4606.343,4406.06738,3504.82617,2603.58521,1401.93042,801.103149,23.2053165,22.24637,0,0.8278513,100.137894,37.82202,12.0541,19.8164864,37,37,1,0,0,2,0.006,0,0,0,31,10.9894867
