,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0,/hdd/3/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","Memory","Used Memory","Available Memory","Temperature","Used Space","Used Space","Used Space","Used Space"
10/21/2022 00:15:03,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.845375,2.1816597,29.6889267,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:08,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.844116,2.18125916,29.6893272,42,12.4863739,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:14,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.84403229,2.18123245,29.6893539,42,12.4863739,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:19,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.84151459,2.18043137,29.690155,42,12.4863739,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:24,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.839592,2.1798172,29.69077,42,12.4863739,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:29,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.834755,2.178276,29.69231,42,12.4863739,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:34,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.83441925,2.17816925,29.6924171,42,12.4863739,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:39,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.82662964,2.175686,29.6949,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:44,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.82562256,2.17536545,29.69522,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:49,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.825203,2.175232,29.6953545,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:54,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.822075,2.1742363,29.69635,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:15:59,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.8197937,2.17350769,29.6970787,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:04,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.8179245,2.1729126,29.6976738,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:09,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.81708527,2.17264557,29.69794,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:14,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.81626129,2.17238235,29.698204,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:20,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.815605,2.17217255,29.6984138,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:25,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.809204,2.17013168,29.7004547,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:30,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.809204,2.17013168,29.7004547,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:35,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.80843353,2.16988754,29.7006989,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:40,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.807419,2.16956329,29.7010231,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:45,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.806885,2.16939545,29.70119,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:50,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.80651855,2.16927719,29.70131,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:16:55,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.806244,2.16918945,29.7013969,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:00,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.805588,2.16897964,29.7016068,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:05,0.78125,0,0,0,0,0,0,0,0.09765625,,,,,,,,,,,,,,,,,,6.80526733,2.16887665,29.70171,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:10,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.804611,2.16867065,29.7019157,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:15,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.80445862,2.168621,29.7019653,42,12.4865189,0.000381469727,35.4988251,67.08646
