,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/0,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/temperature/9,/atigpu/0/power/0,/atigpu/0/fan/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/atigpu/0/load/1,/atigpu/0/control/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Hot Spot","GPU Total","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Memory","GPU Fan","Temperature","Used Space"
10/13/2022 13:19:54,100,100,70.98039,70.98039,30.19608,30.19608,70.98039,1.20800006,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,68,46,40,8.5,23,28,-12,2860.16943,31.7460289,5.555558,0,0,4.76190472,3.96825075,24.21875,21.4285736,11.4598808,68,66,63,61,56,55,66,55,66,4606.33838,4606.33838,4606.33838,4606.33838,4606.33838,4606.33838,4606.33838,4606.33838,53.8976936,52.9505119,0,1.12582231,100.137787,23.2454681,7.40846634,24.46212,51,51,2,0,6,14,0.70600003,0,1,0,45,10.4929047
10/13/2022 13:19:59,94.90196,72.54902,70.98039,70.98039,30.19608,30.19608,70.98039,1.20800006,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,63,46,39,8.5,23,28,-12,2683.89673,21.875,1.5625,4.6875,0.78125,0,0.78125,3.90625,0.793647766,4.29842472,62,58,64,63,56,56,56,53,64,4606.34131,4606.34131,4606.34131,4606.34131,4606.34131,4606.34131,4606.34131,4606.34131,41.6397362,40.72844,0,1.06954527,100.137856,23.1637878,7.382435,24.4881516,51,51,5,0,62,522,0.718000054,11,2,0,45,10.4929047
10/13/2022 13:20:04,92.54902,76.47059,70.98039,70.98039,30.19608,30.19608,70.98039,0.896,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,54.5,47,39,8,23,28,-12,2335.64014,6.153846,3.076923,0,0,0,4.615384,3.076923,1.53846145,2.30769515,52,52,53,51,52,52,52,52,53,801.1029,4606.342,4606.342,801.1029,4606.342,4606.342,4005.5144,2803.86,18.7191944,17.7541046,0,0.754292846,100.137863,23.2544556,7.411331,24.4592552,51,51,2,0,4,12,0.718000054,0,0,0,45,10.4929047
10/13/2022 13:20:09,82.7451,56.47059,70.98039,70.98039,30.19608,30.19608,70.98039,1.21600008,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,55,47,39,8,23,28,-12,1936.87231,1.53846145,2.30768919,0,0,0,10.0000019,0,0,1.73076987,53,53,53,52,52,63,52,51,63,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,21.5239353,20.6032314,0,0.8029331,100.137871,23.1470413,7.377098,24.4934883,51,51,3,0,497,882,0.70600003,16,3,0,45,10.4929047
10/13/2022 13:20:14,83.92157,58.0392151,70.98039,70.98039,30.19608,30.19608,70.98039,1.088,1.672,3.47200012,3.36000013,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,51.5,47,39,8,23,28,-12,2000,0,9.375,0,0,0,3.90625,0.78125,0,1.7578125,50,51,53,50,50,50,53,50,53,4606.342,4606.342,801.102966,4606.342,801.102966,801.102966,801.102966,801.102966,15.8011971,14.8727236,0,0.7026078,100.137871,23.2129135,7.39809036,24.472496,51,51,2,0,6,22,0.70600003,0,1,0,45,10.4929047
10/13/2022 13:20:19,85.09804,58.8235321,70.98039,70.98039,30.19608,30.19608,70.98039,1.184,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,62,46,39,8.5,22,28,-12,2000,0,10.9375,1.58730149,0,0,6.25,19.8412666,0,4.82701063,53,53,52,51,53,52,64,51,64,4606.341,4606.341,4606.341,4606.341,4606.341,3705.10034,2503.44629,4606.341,29.80658,28.8532333,0,0.978518844,100.137848,23.148468,7.377552,24.4930344,50,51,2,0,7,16,0.718000054,0,1,0,45,10.4929047
10/13/2022 13:20:24,81.9607849,55.6862755,70.98039,70.98039,30.19608,30.19608,70.98039,0.640000045,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,50.5,46,39,8,23,28,-12,1982.37891,0,0,0.78125,0,0.78125,0,0.78125,0,0.29296875,49,49,49,49,49,49,49,49,50,801.102356,4606.33838,4606.33838,801.102356,801.102356,4606.33838,4606.33838,4606.33838,11.3572493,10.4057426,0,0.65475893,100.137794,23.1572342,7.380348,24.4902382,51,51,2,0,6,14,0.718000054,0,1,0,45,10.4930649
10/13/2022 13:20:29,81.9607849,55.294117,70.98039,70.98039,30.19608,30.19608,70.98039,1.04000008,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,50.5,46,39,8,23,28,-12,2057.92676,3.90625,1.5625,0.78125,0.793647766,0,0,0,0.78125,0.9781122,55,50,50,49,49,51,50,50,56,4706.483,4706.483,4105.65527,4606.345,801.1035,801.1035,4606.345,4606.345,12.5998487,11.6618824,0,0.6819874,100.137939,23.08094,7.35602951,24.5145569,51,51,2,0,7,14,0.718000054,0,1,0,45,10.4930649
10/13/2022 13:20:34,86.66667,60,70.98039,70.98039,30.19608,30.19608,70.98039,0.816000044,1.672,3.456,3.36000013,0.992000043,1.056,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,55.5,46,39,8.5,23,28,-12,2027.027,0,20.7692261,0,0,0,7.69230747,0,0.7692337,3.65384221,50,50,51,50,50,51,51,50,51,4606.34229,4606.34229,4005.515,4005.515,4606.34229,4606.34229,4305.92871,3404.68774,25.8492222,24.9358635,0,0.8864196,100.137871,23.0700684,7.352566,24.51802,51,51,2,0,6,18,0.70600003,0,1,0,45,10.4930649
10/13/2022 13:20:39,80.78432,54.11765,70.98039,70.98039,30.19608,30.19608,70.98039,0.984,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,53,46,39,8.5,23,28,-12,2033.13257,0,2.31971145,0.7692337,0,0,0,0,0,0.3861189,51,51,51,49,50,50,50,49,51,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,4606.342,17.4109573,16.49792,0,0.76356715,100.137871,23.1212082,7.368866,24.50172,51,51,5,0,497,330,0.70600003,30,6,0,45,10.4930649
10/13/2022 13:20:44,80.78432,54.11765,70.98039,70.98039,30.19608,30.19608,70.98039,0.704000056,1.672,3.456,3.36000013,0.992000043,1.056,1.3440001,3.456,0.528,0.520000041,0.480000019,0.904000044,1.27200007,1.672,49.5,46,39,8,23,28,-12,2002.96741,3.125,1.58730149,0,0.78125,0,0,0,0.78125,0.784349442,48,48,49,48,48,48,49,48,49,4606.33838,4606.33838,801.1023,801.1023,801.1023,4706.476,4606.33838,4606.33838,9.68629,8.764239,0,0.6610659,100.137787,23.135437,7.373398,24.4971886,51,51,2,0,23,36,0.718000054,1,1,0,45,10.4930649
