,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0,/hdd/3/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","Memory","Used Memory","Available Memory","Temperature","Used Space","Used Space","Used Space","Used Space"
10/22/2022 00:00:02,1.5625,12.6495724,8.730162,6.153846,8.4615345,6.9963336,3.96825075,3.174603,6.462097,,,,,,,,,,,,,,,,,,42.4317,13.5232315,18.3473549,40,14.157196,,,69.5826645
10/22/2022 00:00:07,0.7692337,0.7692337,0.757575035,1.53846145,0,0.7692337,0,0.7692337,0.671625137,,,,,,,,,,,,,,,,,,42.40733,13.5154648,18.3551216,40,14.157196,,,69.5826645
10/22/2022 00:00:12,2.34375,3.125,3.90625,3.125,1.5625,2.31971145,1.5625,2.34375,2.53605843,,,,,,,,,,,,,,,,,,42.4344673,13.5241127,18.3464737,40,14.157196,,,69.5826645
10/22/2022 00:00:17,1.5504837,1.5625,0,3.78787518,0.757575035,0.78125,0,0,1.05496049,,,,,,,,,,,,,,,,,,42.50147,13.5454674,18.325119,40,14.157196,,,69.5826645
10/22/2022 00:00:22,0.78125,0,0,0,0,0,0,0,0.09765625,,,,,,,,,,,,,,,,,,42.48106,13.5389633,18.3316231,40,14.157196,,,69.5826645
10/22/2022 00:00:27,3.87018919,3.91864777,3.90625,3.125,1.57489777,2.36855149,0.78125,1.5625,2.63841152,,,,,,,,,,,,,,,,,,42.53355,13.5556908,18.3148956,40,14.157196,,,69.5826645
10/22/2022 00:00:32,0.78125,0.78125,0,0.7692337,0,0,0,0,0.2914667,,,,,,,,,,,,,,,,,,42.51438,13.5495834,18.321003,40,14.1572266,,,69.5826645
10/22/2022 00:00:37,1.53846145,1.51515007,0.7692337,0.7692337,0,0,0.7692337,0,0.6701648,,,,,,,,,,,,,,,,,,42.4012375,13.5135231,18.3570633,40,14.1572266,,,69.5826645
10/22/2022 00:00:42,0.78125,0.78125,0,1.58730149,0,0.78125,0,0,0.4913807,,,,,,,,,,,,,,,,,,42.3642044,13.50172,18.368866,40,14.1572266,,,69.5826645
10/22/2022 00:00:47,5.432689,6.25,6.153846,3.03030014,5.384612,4.651439,2.29603648,2.34375,4.442835,,,,,,,,,,,,,,,,,,42.42695,13.5217171,18.34887,40,14.1572266,,,69.5826645
10/22/2022 00:00:52,3.125,0.793647766,3.125,0,0,0,0.78125,0,0.9781122,,,,,,,,,,,,,,,,,,42.4040146,13.5144081,18.3561783,40,14.1572266,,,69.5826645
10/22/2022 00:00:57,1.5625,0,2.38095522,0,0,0.793647766,0,0,0.5921364,,,,,,,,,,,,,,,,,,42.39213,13.51062,18.3599663,40,14.1572266,,,69.5826645
10/22/2022 00:01:02,0.7692337,1.5625,0,0,1.53846145,0,0,0,0.483775139,,,,,,,,,,,,,,,,,,42.43804,13.5252533,18.3453331,40,14.1572266,,,69.5826645
10/22/2022 00:01:07,0.78125,0.78125,0,0,1.5625,1.53846145,0,0.78125,0.6805897,,,,,,,,,,,,,,,,,,42.4406166,13.5260735,18.3445129,40,14.1572266,,,69.5826645
10/22/2022 00:01:12,2.34375,3.125,5.46875,2.34375,2.35614777,4.71230125,1.58730149,3.90625,3.23040485,,,,,,,,,,,,,,,,,,42.3523636,13.4979477,18.3726387,40,14.1572266,,,69.5826645
10/22/2022 00:01:17,0.78125,1.58730149,0.78125,1.5625,0,1.53846145,0,0,0.781345367,,,,,,,,,,,,,,,,,,42.4776268,13.5378685,18.3327179,40,14.1572266,,,69.5826645
10/22/2022 00:01:22,0.78125,0,1.58730149,1.5625,0.7692337,0,0,0,0.5875349,,,,,,,,,,,,,,,,,,42.4278946,13.5220184,18.348568,40,14.1572266,,,69.5826645
10/22/2022 00:01:27,0.78125,0.7692337,0,0,0,0.7692337,0,0,0.289964676,,,,,,,,,,,,,,,,,,42.45995,13.5322342,18.3383522,40,14.1572266,,,69.5826645
10/22/2022 00:01:32,0.78125,0,0.78125,0,0,2.30768919,0,0,0.483775139,,,,,,,,,,,,,,,,,,42.4523964,13.5298271,18.34076,40,14.1572266,,,69.5826645
10/22/2022 00:01:37,0.78125,0.7692337,3.96825075,0.7692337,0,0,0,0.793647766,0.8852005,,,,,,,,,,,,,,,,,,42.44611,13.5278244,18.342762,40,14.1572266,,,69.5826645
10/22/2022 00:01:42,1.52680874,0,0,0.78125,0,2.34375,0.7692337,0,0.6776333,,,,,,,,,,,,,,,,,,42.4986229,13.5445595,18.3260269,40,14.1572266,,,69.5826645
10/22/2022 00:01:47,0.7692337,1.53846145,0.757575035,0.7692337,1.5625,0,0,0.7692337,0.7707834,,,,,,,,,,,,,,,,,,42.4836121,13.5397758,18.33081,40,14.1572266,,,69.5826645
10/22/2022 00:01:52,0.78125,0.78125,0.78125,0.78125,0,0,0,0,0.390625,,,,,,,,,,,,,,,,,,42.4895248,13.54166,18.3289261,40,14.1572266,,,69.5826645
10/22/2022 00:01:57,0.78125,0.78125,0.78125,0.78125,0.7692337,0.78125,0,0,0.584435463,,,,,,,,,,,,,,,,,,42.56371,13.5653038,18.3052826,40,14.1572266,,,69.5826645
